N,q,init_name,init_value,iteration,mean_rel_error,max_rel_error,mean_abs_f
256,2.0,eps=1.0,1.000000,9,0.0000000152,0.0000001506,0.0000000206
256,2.0,n^(1/q)/2,8.000000,0,0.3968549371,0.4460017383,1.2591252327
256,2.0,n^(1/q)/2,8.000000,1,0.1777500808,0.2351311147,0.3844169974
256,2.0,n^(1/q)/2,8.000000,2,0.0386136770,0.0700298026,0.0686522573
256,2.0,n^(1/q)/2,8.000000,3,0.0020045838,0.0065385946,0.0034120400
256,2.0,n^(1/q)/2,8.000000,4,0.0000064971,0.0000580507,0.0000111468
256,2.0,n^(1/q)/2,8.000000,5,0.0000000262,0.0000001470,0.0000000392
256,2.0,n^(1/q)/2,8.000000,6,0.0000000133,0.0000000843,0.0000000181
256,2.0,n^(1/q)/2,8.000000,7,0.0000000130,0.0000000835,0.0000000178
256,2.0,n^(1/q)/2,8.000000,8,0.0000000131,0.0000000843,0.0000000178
256,2.0,n^(1/q)/2,8.000000,9,0.0000000130,0.0000000835,0.0000000178
256,2.0,n^(1/q)*2,32.000000,0,1.4125802517,1.9419134855,0.7881478667
256,2.0,n^(1/q)*2,32.000000,1,0.2062901556,0.4709567130,0.2693064809
256,2.0,n^(1/q)*2,32.000000,2,0.0582328998,0.2535316348,0.1044874489
256,2.0,n^(1/q)*2,32.000000,3,0.0047238981,0.0630105287,0.0077510308
256,2.0,n^(1/q)*2,32.000000,4,0.0000465210,0.0040593920,0.0000731936
256,2.0,n^(1/q)*2,32.000000,5,0.0000000329,0.0000170968,0.0000000650
256,2.0,n^(1/q)*2,32.000000,6,0.0000000035,0.0000000869,0.0000000176
256,2.0,n^(1/q)*2,32.000000,7,0.0000000000,0.0000000000,0.0000000168
256,2.0,n^(1/q)*2,32.000000,8,0.0000000030,0.0000000843,0.0000000168
256,2.0,n^(1/q)*2,32.000000,9,0.0000000000,0.0000000000,0.0000000168
256,2.0,max+1,1.000000,0,0.9246068597,0.9307501912,23.7735748291
256,2.0,max+1,1.000000,1,0.8305466771,0.8689605594,10.9957952499
